filename,filepath,parse_success,error,title,composer,num_parts,num_measures,actual_measures,num_notes,num_chords,num_rest,num_accidentals,accidental_ratio,pitch_min,pitch_max,pitch_range_semitones,num_large_leaps,large_leap_ratio,max_large_leap_semitones,max_polyphony,duration_quarter_lengths,note_density,chord_ratio,tempo_bpm,time_signatures,key_signature_sharps,no_key_signature,right_hand_single_notes,right_hand_chords,left_hand_single_notes,left_hand_chords,left_hand_melody_range_semitones,left_hand_is_melody,selected
Bartok_Game_VIII_from_For_Children_Sz._42__B_la_Bart_k__m038-045__c000397.musicxml,candidate_musicxml_full_bothhands\Bartok_Game_VIII_from_For_Children_Sz._42__B_la_Bart_k__m038-045__c000397.musicxml,True,,Game,Béla Bartók,2,16,8,61,10,2,0,0.0,D2,C5,34,7,0.1794871794871795,24,3,16.0,3.8125,0.19607843137254902,,2/4,0,True,26,0,15,10,26,False,True
Beethoven_Leonore_Overture_No._3_Piano_solo__Ludwig_van_Beethoven__m481-488__c003089.musicxml,candidate_musicxml_full_bothhands\Beethoven_Leonore_Overture_No._3_Piano_solo__Ludwig_van_Beethoven__m481-488__c003089.musicxml,True,,,,2,16,8,53,8,8,0,0.0,B1,E6,53,4,0.14285714285714285,16,6,32.0,1.65625,0.21052631578947367,,4/4,0,True,14,4,16,4,0,False,True
Before_Win__Akordeusz__m005-012__c003361.musicxml,candidate_musicxml_full_bothhands\Before_Win__Akordeusz__m005-012__c003361.musicxml,True,,tytuł,Akordeusz,2,16,8,60,8,0,4,0.06666666666666667,B3,E6,29,10,0.2857142857142857,12,4,32.0,1.875,0.18181818181818182,,4/4,0,True,36,0,0,8,0,False,True
Behre__Yusuf_Biberci__m010-017__c001828.musicxml,candidate_musicxml_full_bothhands\Behre__Yusuf_Biberci__m010-017__c001828.musicxml,True,,Title,Composer,2,16,8,104,4,10,0,0.0,G2,G5,36,3,0.03260869565217391,10,4,32.0,3.25,0.04081632653061224,120.0,4/4,0,True,70,0,24,4,12,False,True
Be_As_One_by_W-inds_FairyTail_Ending_6__Arr._LoisCovers__m001-008__c001396.musicxml,candidate_musicxml_full_bothhands\Be_As_One_by_W-inds_FairyTail_Ending_6__Arr._LoisCovers__m001-008__c001396.musicxml,True,,Be As One,Arr. LoisCovers,2,16,8,47,4,4,0,0.0,F2,E5,35,8,0.22857142857142856,17,4,32.0,1.46875,0.0975609756097561,85.0,4/4,0,True,26,0,11,4,16,False,True
Be_As_One_by_W-inds_FairyTail_Ending_6__Arr._LoisCovers__m058-065__c001398.musicxml,candidate_musicxml_full_bothhands\Be_As_One_by_W-inds_FairyTail_Ending_6__Arr._LoisCovers__m058-065__c001398.musicxml,True,,Be As One,Arr. LoisCovers,2,16,8,51,8,2,0,0.0,F2,E5,35,8,0.27586206896551724,17,5,32.0,1.59375,0.20512820512820512,,4/4,0,True,25,2,6,6,14,False,True
BIRTHDAY_GIFT__NM__m007-014__c000613.musicxml,candidate_musicxml_full_bothhands\BIRTHDAY_GIFT__NM__m007-014__c000613.musicxml,True,,BIRTHDAY GIFT,NM,2,16,8,69,10,2,4,0.057971014492753624,C3,A5,33,11,0.275,16,4,32.0,2.15625,0.19607843137254902,,4/4,0,True,41,0,0,10,0,False,True
Breetle__MidnightChipmunk__m006-013__c003219.musicxml,candidate_musicxml_full_bothhands\Breetle__MidnightChipmunk__m006-013__c003219.musicxml,True,,Breetle,,2,16,8,78,9,0,0,0.0,G2,F5,34,14,0.25,14,4,32.0,2.4375,0.13432835820895522,,4/4,0,True,45,0,13,9,16,False,True
Breetle__MidnightChipmunk__m011-018__c003220.musicxml,candidate_musicxml_full_bothhands\Breetle__MidnightChipmunk__m011-018__c003220.musicxml,True,,Breetle,,2,16,8,76,6,0,0,0.0,G2,F5,34,16,0.26666666666666666,16,4,32.0,2.375,0.08823529411764706,,4/4,0,True,38,0,24,6,12,False,True
BTS_-_ON__Arranged_by_myee89__m073-080__c000697.musicxml,candidate_musicxml_full_bothhands\BTS_-_ON__Arranged_by_myee89__m073-080__c000697.musicxml,True,,ON,Arranged by myee89,2,16,8,40,2,6,0,0.0,G2,F6,46,9,0.28125,17,4,32.0,1.25,0.05555555555555555,,4/4,0,True,30,2,4,0,2,False,True
BTS_-_Title_Tracks_Medley_2013-2019__Arranged_by_myee89__m085-092__c000897.musicxml,candidate_musicxml_full_bothhands\BTS_-_Title_Tracks_Medley_2013-2019__Arranged_by_myee89__m085-092__c000897.musicxml,True,,Title songs collection (2013-2019),Arranged by myee89,2,16,8,50,1,3,3,0.06,B2,E5,29,6,0.13043478260869565,13,3,32.0,1.5625,0.02040816326530612,80.0,4/4,0,True,31,1,17,0,15,False,True
Burgmueller_25_leichte_Etuden_Op100-01_MuseScore__Friedrich_Burgm_ller__m001-008__c000114.musicxml,candidate_musicxml_full_bothhands\Burgmueller_25_leichte_Etuden_Op100-01_MuseScore__Friedrich_Burgm_ller__m001-008__c000114.musicxml,True,,,Fricdrich Burgmiillcr,2,16,8,86,9,2,1,0.011627906976744186,B2,C6,37,7,0.11666666666666667,13,4,32.0,2.6875,0.12857142857142856,152.0,4/4,0,True,61,0,0,9,0,False,True
Burgm_ller_Arabesque_-_Op._100_No._2__Friedrich_Burgm_ller__m013-020__c000249.musicxml,candidate_musicxml_full_bothhands\Burgm_ller_Arabesque_-_Op._100_No._2__Friedrich_Burgm_ller__m013-020__c000249.musicxml,True,,,Public Domain (PianoXML typeset),2,16,8,61,2,5,6,0.09836065573770492,G#3,A5,25,9,0.16981132075471697,9,4,16.0,3.8125,0.03508771929824561,,2/4,0,True,21,0,34,2,13,False,True
By_Morning_s_Light__Justin_Harnishfeger__m012-019__c000984.musicxml,candidate_musicxml_full_bothhands\By_Morning_s_Light__Justin_Harnishfeger__m012-019__c000984.musicxml,True,,Test Composition,Justin Harnishfeger,2,16,8,109,9,0,0,0.0,A2,F5,32,27,0.3375,14,4,32.0,3.40625,0.0989010989010989,,4/4,0,True,47,0,35,9,15,False,True
Cadenza_I_Movement_Concerto_No.8_Mozart_by_Giovanni_Zanaroli__Giovanni_Zanaroli__m001-008__c000874.musicxml,candidate_musicxml_full_bothhands\Cadenza_I_Movement_Concerto_No.8_Mozart_by_Giovanni_Zanaroli__Giovanni_Zanaroli__m001-008__c000874.musicxml,True,,Cadenza Concerto No.8 Mozart,Giovanni Zanaroli,2,16,8,135,10,4,3,0.022222222222222223,G2,A5,38,16,0.1415929203539823,11,4,32.0,4.21875,0.08,,4/4,0,True,50,1,65,9,11,False,True
Castle_in_the_Sky__NA__m001-008__c003732.musicxml,candidate_musicxml_full_bothhands\Castle_in_the_Sky__NA__m001-008__c003732.musicxml,True,,天空之城,,2,16,8,55,6,17,3,0.05454545454545454,C3,E5,28,7,0.17073170731707318,12,3,32.0,1.71875,0.12244897959183673,80.0,4/4,0,True,18,6,25,0,16,False,True
Castle_in_the_Sky__NA__m007-014__c003733.musicxml,candidate_musicxml_full_bothhands\Castle_in_the_Sky__NA__m007-014__c003733.musicxml,True,,天空之城,,2,16,8,65,10,17,6,0.09230769230769231,C3,E5,28,7,0.16279069767441862,12,3,32.0,2.03125,0.18181818181818182,,4/4,0,True,15,10,30,0,16,False,True
Castle_in_the_Sky__NA__m014-021__c003734.musicxml,candidate_musicxml_full_bothhands\Castle_in_the_Sky__NA__m014-021__c003734.musicxml,True,,天空之城,,2,16,8,37,6,15,1,0.02702702702702703,C3,E5,28,5,0.21739130434782608,7,3,32.0,1.15625,0.1935483870967742,,4/4,0,True,8,6,17,0,16,False,True
Cave_Fall__NA__m001-008__c002728.musicxml,candidate_musicxml_full_bothhands\Cave_Fall__NA__m001-008__c002728.musicxml,True,,Cave Fall,,2,16,8,63,7,20,0,0.0,C2,C6,48,13,0.2826086956521739,22,4,32.0,1.96875,0.12727272727272726,100.0,4/4,0,True,41,0,7,7,3,False,True
